ID, Compulsory, Natural, Social
BD1200544 16.95 14.25 0
BD1200545 10.8 0 17
BD1200546 15.8 0 19.75
BD1200547 16.6 0 19.5
BD1200548 14.2 14 0
BD1200549 16.4 0 15.25
BD1200550 13.9 0 18.75
BD1200551 15.3 15.25 0
BD1200552 15.3 0 20
BD1200553 18 15.25 0
BD1200554 9.3 0 10.5
BD1200555 16.75 0 19.75
BD1200556 14.85 11.5 0
BD1200557 8.4 0 13.75
BD1200558 19.1 18.25 0
BD1200559 14.55 0 20.5
BD1200560 16.3 0 18.75
BD1200561 18.3 16.75 0
BD1200562 20.6 0 24
BD1200563 17.8 18.25 0
BD1200564 21.8 0 21
BD1200565 9.2 0 19
BD1200566 20.3 0 20.5
BD1200567 14 0 17.5
BD1200568 16.75 19.75 0
BD1200569 14.6 0 15.5
BD1200570 4.4 0 7.75
BD1200571 19.75 0 25
BD1200572 11.25 7.5 8.5
BD1200573 16.2 14.25 0
BD1200574 18.4 13.75 0
BD1200575 14.9 12 0
BD1200576 17.75 14.75 0
BD1200577 17.3 15.75 0
BD1200578 20.35 20.75 0
BD1200579 20.95 18.25 0
BD1200580 11 0 13.75
BD1200581 13.4 0 18.75
BD1200582 12.9 0 18
BD1200583 16.1 0 21.5
BD1200584 13.9 8.75 17.5
BD1200585 10.95 8.25 17.75
BD1200586 22.85 17.25 0
BD1200587 14.4 9.25 18.25
BD1200588 16.4 14.25 0
BD1200589 10.15 0 18.25
BD1200590 20.85 16.5 17.25
BD1200591 16.75 0 18.75
BD1200592 14.95 0 20.5
BD1200593 22.6 0 22.25
BD1200594 16 17.75 0
BD1200595 8.8 13 0
BD1200596 17.3 0 19
BD1200597 12.15 0 15.75
BD1200598 13.35 0 17.75
BD1200599 17.95 17.25 0
BD1200600 12.5 0 12.25
BD1200601 18.9 0 18.25
BD1200602 13.65 0 17
BD1200603 23.75 0 19.75
BD1200604 13.25 0 14.5
BD1200605 17.05 16.5 0
BD1200606 17.35 14.25 0
BD1200607 11.85 0 17
BD1200608 15 0 14.75
BD1200609 17.6 0 18.5
BD1200610 13.7 0 16.25
BD1200611 18.45 8.25 20.75
BD1200612 13.2 0 13.5
BD1200613 7.25 0 4
BD1200614 13.85 10.25 20
BD1200615 13.4 0 19
BD1200616 11.3 6.25 13.25
BD1200617 18.3 18.5 0
BD1200618 17.75 15.75 0
BD1200619 9.55 0 18.75
BD1200620 8.65 0 11
BD1200621 20.5 18.25 0
BD1200623 10.65 6.5 14.25
BD1200624 18.7 17 0
BD1200625 18.4 15 0
BD1200626 17.4 0 20.75
BD1200627 13.1 12.5 0
BD1200628 5.95 0 12.25
BD1200629 16.2 14.75 0
BD1200630 16.15 10 17.5
BD1200631 17.4 14.5 0
BD1200632 15.7 17.5 0
BD1200633 14.75 0 15.5
BD1200634 19.8 15.5 0
BD1200635 13.85 0 18.5
BD1200636 15.45 11.75 18
BD1200637 17.85 22 0
BD1200638 12.6 9.5 15.25
BD1200639 13.9 0 19.5
BD1200640 16.65 11.5 0
BD1200641 16.5 0 19
BD1200642 15.9 13.25 0
BD1200643 15.55 14.5 0
BD1200644 18.4 0 20.25
BD1200645 18.05 0 19.25
BD1200646 18.3 0 20
BD1200647 10.75 0 17.25
BD1200648 15 15 0
BD1200649 18.7 15.75 0
BD1200650 6.7 0 6
BD1200651 7.05 0 12
BD1200652 13.45 0 15.5
BD1200653 21.3 20.75 0
BD1200654 15 16.75 0
BD1200655 21.15 19.25 0
BD1200656 17.2 0 17.25
BD1200657 22.35 0 0
BD1200658 9.55 0 15.5
BD1200659 16.45 17 0
